article_id,title,source,publish_time,url,data_quality,decision,relevance_score,priority_score,importance_score,confidence,category,relation_level,relation_paths,heat_score,heat_tier,heat_basis,heat_confidence,article_metrics,core_summary,reason,matched_terms,excluded_terms,action_items,analysis_mode
354,靠AI日赚2000万，41岁程序员打造一人公司，奥特曼急着见他,创业邦,2026-04-09,https://www.cyzone.cn/article/829946.html,full_text,relevant,100,73,73,high,case_study,core,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 20.4, ""matched_terms"": [""AI""]}]",9,unknown,estimated,low,{},爱奇清科（北京）信息科技有限公司 地址：北京市朝阳区丽泽西街东湖国际中心A座7层 |网络文化经营许可证（京网文[2018]2153-213号） 京公网安备 11010502035114号,直接命中 OPC 主题词：一人公司；OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI）；存在公司/创业/监管语境,"[""AI"", ""一人公司"", ""公司""]",[],[],rules
397,DeepSeek传筹备IPO，中国AI头部公司融资狂飙,36氪,2026年07月15日 09:36,https://36kr.com/p/3896190110319751,full_text,relevant,85,72,72,high,case_study,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 47.4, ""matched_terms"": [""AI"", ""OpenAI"", ""人工智能"", ""大模型""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 13.0, ""matched_terms"": [""创业"", ""创业者""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 9.0, ""matched_terms"": [""融资""]}]",42,low,article_metrics,high,"{""likes"": 80, ""favorites"": 27, ""comments"": 1}",DeepSeek目标2027年挂牌，最早年底提交上市申请,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、OpenAI、人工智能、大模型）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业、创业者）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""AI"", ""OpenAI"", ""人工智能"", ""创业"", ""创业者"", ""大模型"", ""融资""]",[],[],rules
393,等了两年，国行苹果AI终于通过备案，接入千问,36氪,2026年07月15日 19:58,https://36kr.com/p/3896830991320962,full_text,relevant,85,72,77,high,policy,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 48.4, ""matched_terms"": [""AI"", ""人工智能"", ""大模型"", ""智能体""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 13.0, ""matched_terms"": [""创业"", ""创业者""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",42,low,article_metrics,high,"{""likes"": 48, ""favorites"": 3, ""comments"": 3}",距离 Apple 智能发布，已经不知不觉过去两年了。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能、大模型、智能体）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业、创业者）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""AI"", ""人工智能"", ""创业"", ""创业者"", ""大模型"", ""智能体"", ""融资""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
395,8点1氪丨国行苹果AI功能完成备案；三家共享单车上调起步价；知情人曝DeepSeek开始筹备IPO,36氪,2026年07月16日 07:59,https://36kr.com/p/3897553391978371,full_text,relevant,85,72,77,high,policy,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 66.0, ""matched_terms"": [""AI"", ""AI搜索"", ""人工智能"", ""大模型"", ""自动化""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 19.0, ""matched_terms"": [""创业"", ""创业者"", ""初创""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",41,low,article_metrics,high,"{""likes"": 115, ""favorites"": 10}",7月15日网信中国公示备案信息，苹果智能大模型接入阿里千问，国行苹果设备即将上线本土AI功能。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、AI搜索、人工智能、大模型、自动化）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业、创业者、初创）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""AI"", ""AI搜索"", ""人工智能"", ""创业"", ""创业者"", ""初创"", ""大模型"", ""自动化"", ""融资""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
59,货币政策、信贷、离岸人民币…央行发布会回应十大热点！结构性货币政策工具后续是否会继续创新？全球通胀和主要经济体货币政策调整对中国会带来哪些影响？昨天 20:13,第一财经,2026-07-15 20:13:26,https://www.yicai.com/news/103276618.html,full_text,relevant,85,71,76,high,policy_interpretation,contextual,"[{""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 25.2, ""matched_terms"": [""信贷"", ""利率"", ""融资"", ""货币政策""]}, {""id"": ""policy_compliance"", ""label"": ""注册、税务与合规"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的注册门槛、税务成本、用工方式和合规风险"", ""score"": 16.8, ""matched_terms"": [""政策""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 8.0, ""matched_terms"": [""小微企业""]}]",39,low,article_metrics,high,"{""comments"": 7}",结构性货币政策工具后续是否会继续创新？全球通胀和主要经济体货币政策调整对中国会带来哪些影响？,OPC 关联路径：融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 信贷、利率、融资、货币政策）；注册、税务与合规：影响一人公司的注册门槛、税务成本、用工方式和合规风险（命中 政策）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 小微企业）,"[""信贷"", ""利率"", ""小微企业"", ""政策"", ""融资"", ""货币政策""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
44,上半年金融数据出炉：信贷“降速提质”、债券与股票融资占比提升随着房地产市场深度调整、地方政府化债工作有序推进，这一部分贷款规模出现下降，其他贷款要先填补上这个缺口才能表现为增量。7分钟前,第一财经,2026-07-16 09:15:47,https://www.yicai.com/news/103276788.html,full_text,relevant,85,71,76,high,policy,contextual,"[{""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 30.0, ""matched_terms"": [""信贷"", ""利率"", ""小微贷款"", ""融资"", ""货币政策""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 8.0, ""matched_terms"": [""小微企业""]}, {""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 7.0, ""matched_terms"": [""人工智能""]}, {""id"": ""policy_compliance"", ""label"": ""注册、税务与合规"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的注册门槛、税务成本、用工方式和合规风险"", ""score"": 3.0, ""matched_terms"": [""政策""]}]",39,low,article_metrics,high,"{""comments"": 7}",随着房地产市场深度调整、地方政府化债工作有序推进，这一部分贷款规模出现下降，其他贷款要先填补上这个缺口才能表现为增量。,OPC 关联路径：融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 信贷、利率、小微贷款、融资、货币政策）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 小微企业）；AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 人工智能）；注册、税务与合规：影响一人公司的注册门槛、税务成本、用工方式和合规风险（命中 政策）,"[""人工智能"", ""信贷"", ""利率"", ""小微企业"", ""小微贷款"", ""政策"", ""融资"", ""货币政策""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
296,破解“供强需弱”，关键在营商环境｜中国经济·年中观澜,21世纪经济报道,2026-07-15 21:21,https://m.21jingji.com/article/20260715/herald/c852ed5f946946f5190c6a131da92306.html,full_text,relevant,85,71,76,high,policy,operational,"[{""id"": ""policy_compliance"", ""label"": ""注册、税务与合规"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的注册门槛、税务成本、用工方式和合规风险"", ""score"": 34.2, ""matched_terms"": [""政策"", ""知识产权"", ""营商环境""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 20.0, ""matched_terms"": [""中小企业"", ""小微企业"", ""工作室""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 14.0, ""matched_terms"": [""信贷"", ""小微贷款"", ""融资""]}, {""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 13.0, ""matched_terms"": [""AI"", ""人工智能""]}]",38,low,article_metrics,medium,"{""comments"": 21}",应构建“短期托底、中期疏通、长期重构”三位一体营商环境优化体系，将新质生产力供给优势平稳转化为内需增长动能。,OPC 关联路径：注册、税务与合规：影响一人公司的注册门槛、税务成本、用工方式和合规风险（命中 政策、知识产权、营商环境）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 中小企业、小微企业、工作室）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 信贷、小微贷款、融资）；AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能）,"[""AI"", ""中小企业"", ""人工智能"", ""信贷"", ""小微企业"", ""小微贷款"", ""工作室"", ""政策"", ""知识产权"", ""营商环境"", ""融资""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
55,AI进化速递丨阿里千问将作为AI能力集成至Apple智能OpenAI计划推出家用智能音箱，作为其首款硬件产品。昨天 20:40,第一财经,2026-07-15 20:40:13,https://www.yicai.com/news/103276755.html,full_text,relevant,85,71,71,high,case_study,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 55.8, ""matched_terms"": [""AI"", ""OpenAI""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",37,low,article_metrics,high,"{""comments"": 8}",OpenAI计划推出家用智能音箱，作为其首款硬件产品。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、OpenAI）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""AI"", ""OpenAI"", ""融资""]",[],[],rules
456,WAIC开幕前夕，上海人工智能产业热议自主创新与AI治理,界面新闻,2026-07-16T09:36:48.326982,https://www.jiemian.com/article/14769694.html,full_text,relevant,97,71,71,high,case_study,core,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 68.4, ""matched_terms"": [""AI"", ""人工智能"", ""自动化""]}, {""id"": ""solo_business"", ""label"": ""创业与个体经营"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的创办方式、经营主体选择和个人职业路径"", ""score"": 16.0, ""matched_terms"": [""创业"", ""超级个体""]}]",10,unknown,estimated,low,{},WAIC前夕，一场围绕环球视角下的中国AI产业思辨，已在上海提前发酵。,直接命中 OPC 主题词：OPC、一人公司、超级个体；OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能、自动化）；创业与个体经营：影响一人公司的创办方式、经营主体选择和个人职业路径（命中 创业、超级个体）；存在公司/创业/监管语境,"[""AI"", ""OPC"", ""一人公司"", ""人工智能"", ""公司"", ""创业"", ""自动化"", ""超级个体""]",[],[],rules
608,浙江大学发布AI自主科研系统“求是引擎”,中国经济网,2026-07-16 08:25:36,http://www.ce.cn/xwzx/gnsz/gdxw/202607/t20260716_3090133.shtml,full_text,relevant,85,69,69,high,news,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 55.6, ""matched_terms"": [""AI"", ""人工智能"", ""大模型"", ""智能体""]}]",33,low,estimated,low,{},浙江大学发布AI自主科研系统“求是引擎”,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能、大模型、智能体）,"[""AI"", ""人工智能"", ""大模型"", ""智能体""]",[],[],rules
