article_id,title,source,publish_time,url,data_quality,decision,relevance_score,priority_score,importance_score,confidence,category,relation_level,relation_paths,heat_score,heat_tier,heat_basis,heat_confidence,article_metrics,core_summary,reason,matched_terms,excluded_terms,action_items,analysis_mode
659,南非最大钻石矿停产,i黑马,2026-07-15 16:02,https://www.iheima.com/article-399595.html,full_text,irrelevant,0,8,8,high,news,none,[],28,low,estimated,low,{},戴比尔斯当天发表声明说，公司其他矿区将维持现有产量，总体产量指引不变。戴比尔斯集团首席执行官阿尔·库克在声明中表示，相关调整旨在增强公司经营韧性。自2024年以来，戴比尔斯已将年度管理费用削减逾1亿美元，并出售或关闭部分非核心资产。,没有找到可解释的 OPC 经营或发展关联路径,[],[],[],rules
658,长鑫科技发行价8.66元/股，朱一明身家超300亿元,i黑马,2026-07-15 16:03,https://www.iheima.com/article-399596.html,full_text,irrelevant,0,8,8,high,news,none,[],28,low,estimated,low,{},7月14日消息，长鑫科技公布公司科创板IPO发行价为8.66元/股。根据长鑫科技创始人、董事长朱一明持有股份1592430946股计算，他持有股份对应的长鑫科技市值为137.9亿元。此外根据朱一明持有兆易创新5.13%股份及兆易创新7月14日收盘市值4103亿元计算，他持有长鑫科技及兆易创新市值共计348亿元。,没有找到可解释的 OPC 经营或发展关联路径,[],[],[],rules
657,苹果起诉OpenAI窃取机密？马斯克嘲讽阿尔特曼！,i黑马,2026-07-16T09:37:05.772719,https://www.iheima.com/article-399597.html,full_text,relevant,85,62,62,high,news,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 29.4, ""matched_terms"": [""AI"", ""OpenAI""]}]",8,unknown,estimated,low,{},特斯拉CEO马斯克随后在社交平台嘲讽OpenAI CEO阿尔特曼“将诈骗提升到新高度”，双方互相回击，延续了两人因OpenAI创立及非营利性质争议结下的长期恩怨。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、OpenAI）,"[""AI"", ""OpenAI""]",[],[],rules
656,毕马威准备裁员数百人并削减合伙人薪酬,i黑马,2026-07-15 16:19,https://www.iheima.com/article-399601.html,full_text,irrelevant,0,8,8,high,news,none,[],28,low,estimated,low,{},据报道，毕马威正准备在澳大利亚裁员数百人，并将合伙人薪酬最多削减20%。此前，毕马威澳大利亚被指利用客户机密信息赢得业务，该事件持续发酵。不过，高层管理人员已经在审查客户订单，以评估这起丑闻将对业务储备造成多大冲击。,没有找到可解释的 OPC 经营或发展关联路径,[],[],[],rules
655,亿航智能回应裁员传闻：基于AI提效背景优化低绩效岗位，核心骨干团队保持稳定,i黑马,2026-07-16T09:37:05.772719,https://www.iheima.com/article-399602.html,full_text,relevant,85,62,62,high,news,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 26.4, ""matched_terms"": [""AI""]}]",8,unknown,estimated,low,{},针对网传裁员消息，7 月 14 日亿航智能回应，此次是依托 AI 提效开展常规组织优化，仅精简低绩效人员，同步吸纳新人才，核心团队未受影响。公司一季度营收小幅下滑、亏损扩大，称本次人员调整可提升运营效率、精简开支，助力长期经营。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI）,"[""AI""]",[],[],rules
654,爱诗科技完成 29.8 亿元C 轮融资,i黑马,2026-07-15 16:20,https://www.iheima.com/article-399603.html,full_text,relevant,58,50,50,high,news,contextual,"[{""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 9.0, ""matched_terms"": [""融资""]}, {""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 6.0, ""matched_terms"": [""AI""]}]",30,low,estimated,low,{},7月14日消息，AI视频生成公司“爱诗科技”完成整体C轮融资，累计融资29.8 亿元人民币。最新一轮C+ 轮由阿里巴巴领投，参与方包括 Lollapalooza Capital（王慧文家办）、常春藤资本、惠远资本、钟鼎资本、韩国未来资产、Lion X 基金（OCBC 生态）、蓝色光标、CloudAlpha、iGlobe Partners 等十余家国内外机构。本轮融资将主要用于视频生成基础模型、实时世界模型、全球化产品增长和产业场景落地。,OPC 关联路径：融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）；AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI）,"[""AI"", ""融资""]",[],[],rules
653,AI拟人化新规正式落地,i黑马,2026-07-16T09:37:05.771722,https://www.iheima.com/article-399616.html,full_text,relevant,85,63,68,high,policy,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 41.4, ""matched_terms"": [""AI"", ""人工智能"", ""智能体""]}, {""id"": ""policy_compliance"", ""label"": ""注册、税务与合规"", ""relation_level"": ""operational"", ""opc_impact"": ""影响一人公司的注册门槛、税务成本、用工方式和合规风险"", ""score"": 22.0, ""matched_terms"": [""新规"", ""监管法规""]}]",12,unknown,estimated,low,{},7月15日，国内首部针对AI情感陪伴、虚拟伴侣等拟人化互动场景的国家级监管法规《人工智能拟人化互动服务管理暂行办法》正式施行。日前，豆包、千问相继宣布于7月15日（即新规生效之日）关停用户自建智能体功能，腾讯元宝也已在6月30日下线类似功能。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能、智能体）；注册、税务与合规：影响一人公司的注册门槛、税务成本、用工方式和合规风险（命中 新规、监管法规）,"[""AI"", ""人工智能"", ""新规"", ""智能体"", ""监管法规""]",[],"[""核对发布机构、适用地区、生效时间和原文条款""]",rules
652,微信宣布治理停车缴费界面违规广告链接,i黑马,2026-07-16 08:41,https://www.iheima.com/article-399617.html,full_text,irrelevant,0,8,13,high,policy,none,[],28,low,estimated,low,{},7月15日，微信安全中心发布公告称，近期通过用户投诉发现，部分停车场扫码缴费页面存在诱导性广告弹窗。上述行为违反《中华人民共和国广告法》关于广告不得欺骗、误导消费者、弹窗广告须有显著一键关闭标志等规定。此类违规链接一经发现核实，平台将依据国家相关法律法规以及《腾讯微信软件许可及服务协议》《微信外部链接内容管理规范》等平台协议及规则进行处理，包括限制违规链接的访问等。,没有找到可解释的 OPC 经营或发展关联路径,[],[],[],rules
651,《2026年度“人工智能+”榜单》启动征集，寻找AI时代的领军人物、超级产品、标杆企业和投资机构,i黑马,2026-07-16T09:37:05.771722,https://www.iheima.com/article-399618.html,full_text,relevant,85,62,62,high,news,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 57.2, ""matched_terms"": [""AI"", ""人工智能""]}]",8,unknown,estimated,low,{},本次榜单将挖掘和表彰在人工智能技术研发、场景应用、产业融合中做出突出贡献的AI领军人物、AI超级产品、AI标杆企业、AI投资机构，搭建AI产业交流、创投对接、生态协同的平台，加速推动人工智能和新质生产力的发育壮大。如果你符合条件，欢迎报名参选，为公司和团队申请下对应的AI荣誉（《2026年度“人工智能+”人物》、《2026年度“人工智能+”产品》、《2026年度“人工智能+”企业》或《2026年度“人工智能+”机构》）。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 AI、人工智能）,"[""AI"", ""人工智能""]",[],[],rules
650,DeepSeek据悉准备明年在上海上市,i黑马,2026-07-16 08:42,https://www.iheima.com/article-399619.html,full_text,review,54,46,46,medium,news,enabling,"[{""id"": ""ai_automation"", ""label"": ""AI与自动化"", ""relation_level"": ""enabling"", ""opc_impact"": ""降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围"", ""score"": 7.0, ""matched_terms"": [""人工智能""]}, {""id"": ""finance_capital"", ""label"": ""融资与经营资金"", ""relation_level"": ""contextual"", ""opc_impact"": ""影响个人创业者获得启动资金、信贷和现金流支持的条件"", ""score"": 3.0, ""matched_terms"": [""融资""]}]",28,low,estimated,low,{},据报道，中国人工智能巨头DeepSeek正准备最早于明年第二季度进行首次公开募股(IPO)，旨在为其成本高昂的研发提供资金并助推增长。据知情人士透露，DeepSeek正在与投资者和银行讨论在上海上市事宜。上月，这家总部位于杭州的公司在其首轮外部融资中筹集了74亿美元，投资者对该公司的估值超过500亿美元。,OPC 关联路径：AI与自动化：降低个人公司的技术、人力与内容生产成本，并扩展单人可完成的业务范围（命中 人工智能）；融资与经营资金：影响个人创业者获得启动资金、信贷和现金流支持的条件（命中 融资）,"[""人工智能"", ""融资""]",[],[],rules
